index,OCC_COMPL,LAST_N,FIRST_N,PER_GRP,PER_COMPL,LOC_PAR,LOC_STR,NUM,LOC_COMPL,NORM_PARISH,DISTRICT,geometry,geometry_from,profession,profession_eng,category,category_eng,PAGE_NUM
0,,Alessandri,"Antonio,",,,s. Marco,all’ Ascensione,1291,,marco,San Marco,POINT (12.336748631923397 45.43334684540878),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,103
1,,Alvisi,"Luigi,",,,s. M. del Giglio,calle lunga s. Moise ramo Pedracchi,2069,,maria del giglio,San Marco,POINT (12.33508424993851 45.43304441939665),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,103
2,,Battistella,"Giovanni,",,,s. Benedetto,ramo Venier,3780,,beneto,San Marco,POINT (12.33222865326948 45.43522513307187),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
3,,Benedetti,"Bartolommeo,",,,s. Luca,salizzada s. Paterniano,4220,,luca,San Marco,POINT (12.336997431062901 45.436448913158785),cadaster,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
4,,Bia,"Stefano,",,,s. M. del Giglio,fondamenta della Fenice,2553,,maria del giglio,San Marco,POINT (12.333325750975808 45.43317412513807),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
5,,Billiani,"Antonio,",,,s. Marco,piscina frezzeria,1660,,marco,San Marco,POINT (12.33500445724795 45.43398447987513),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
6,,Bottoni,"Francesco,",,,s. Zaccaria,fondamenta del vin,4661,,zaccaria,Castello,POINT (12.34231789321019 45.43484254772693),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
7,,Brenzoni,"Augusto,",,,s. Stefano,calle del Pestrin,3524,,stefano,San Marco,POINT (12.330883726658367 45.434136452161766),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
8,,Calabi,"Francesco,",,,s. Marco,ponte dei consorzi,4391,,marco,San Marco,POINT (12.335517742822953 45.43516786491917),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
9,,Callegari,"Annibale,",,,"s, Zaccaria",calle nuova,4674,,zaccaria,Castello,POINT (12.342682982072578 45.43451482841904),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
10,,Calucci,"Giuseppe,",,,s. Zaccaria,fondamenta dell’ osmarin,4967,,zaccaria,Castello,POINT (12.343219815806403 45.43554913561706),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
11,,Cigolotti,Jacopo,,,s. Luca,calle avvocati s. Angelo,3913,,luca,San Marco,POINT (12.331808233009426 45.43493949071734),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
12,,Cipriani,Giovanni,,,s. Salvatore,merceria stretta,5042,,salvador,San Marco,POINT (12.336649554516356 45.43727134638598),manuel,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
13,,Costi,Michele,,,s. Zaccaria,ponte canonica,4313,,zaccaria,Castello,POINT (12.340724447039154 45.435019650191656),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
14,,Cremona,Giuseppe,,,s. Marco,campo s. Gallo,1120,,marco,San Marco,POINT (12.33708750312498 45.433357607900405),cadaster,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
15,,D'Angelo,"Giuseppe,",,,s. M. del Giglio,ponte s. Moise,2090,,maria del giglio,San Marco,POINT (12.335446433230299 45.43309853795272),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
16,,Deodati,Edoardo.,,,s. M. del Giglio,fondameuta delle veste,2009,,maria del giglio,San Marco,POINT (12.334194635244705 45.43344275612232),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
17,,Fabris,Francesco,,,s. Luca,calle s. Paterniano,4018,,luca,San Marco,POINT (12.333528759368328 45.435191252966774),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
18,,Fabris,"Liberale; Pietro,",,,s. Samuele,calle Corner,3389,,samuele,San Marco,POINT (12.329674588748507 45.434545589281676),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
19,,Ferrari,"Riccardo,",,(de),s. M. del Giglio,fondamenta Duodo,2008,,maria del giglio,San Marco,POINT (12.334256726434944 45.43346600707414),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
20,,Fortis,"Leone,",,,s. Luca,calle degli Avvocati,3901,,luca,San Marco,POINT (12.331237702805703 45.43542728144303),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
21,,Fossati,"Francesco,",,,s. Stefano,calle ca Garzoni,3316,,stefano,San Marco,POINT (12.328040911050945 45.43433969261239),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
22,,Gelich,"Vincenzo,",,,s. M. del Giglio,s. Fantino calle Verona,1913,,maria del giglio,San Marco,POINT (12.3336258837301 45.43411558278369),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
23,,Grapputo,"Gio.; Giacomo,",,,s. Paternian,rio terra,4246,,paternian,San Marco,POINT (12.335018185369021 45.43554326654203),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
24,,Hoffer,"Luigi,",,,ss. Gio. e Paolo,campiello Ospedaletto,6701,,giovanni e paolo,Castello,POINT (12.343186400134528 45.439399293497765),manuel,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
25,,Lantana,Gio.; Battista,,,s. Stefano,campo s. Maurizio,2660,,stefano,San Marco,POINT (12.331989858696065 45.43204280284071),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
26,,Lattes,Angelo,,,s. Luca,calle degli Avvocati,3903,,luca,San Marco,POINT (12.331125587793098 45.43558584003732),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
27,,Luzzati,"Pietro,",,,s. Salvatore,calle stagneri,5256,,salvador,San Marco,POINT (12.336813210834926 45.4373375535232),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
28,,Mainardi,"Sofoleone,",,,s. M. del Giglio,s. Fantino sottopor. Minelli,1872,,maria del giglio,San Marco,POINT (12.3341294075771 45.43424150004459),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
29,,Malvezzi,Giuseppe,,,s. Gio. Grisostomo.,sottop. aseo,5768,,giovanni grisostomo,Cannaregio,POINT (12.336641562956487 45.43884966898063),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
30,,Manetti,Antonio,,,s. Marco,s. Moisé in campo,1463,,marco,San Marco,POINT (12.335707244499767 45.43322694183272),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
31,,Mastraca,"Dessilla; Alessandro,",,,s. Zaccaria,campo s. Procolo,4709,,zaccaria,Castello,POINT (12.342495325023702 45.435165212656756),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
32,,Mattei,"Giacomo,",,,s. M. del Giglio,s. Fantino calle Verona,1914,,maria del giglio,San Marco,POINT (12.333736270022273 45.43410179326985),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
33,,Meneguzzi,Giovanni,,,s. M. Formosa,salizzada s. Lio calle Nave,5688,,maria formosa,Castello,POINT (12.339042410628357 45.43747666161472),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
34,,Mion,"Angefo,",,,s. Angelo,calle Caotorta,3865,,angelo,San Marco,POINT (12.330931179107631 45.43515025399155),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
35,,Monterumici,"Antonio,",,,s. Marco,salizzada s. Moisé,1493,,marco,San Marco,POINT (12.336468937142461 45.43333054792586),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
36,,Moro,"Giuseppe,",,,s. Marco,s. Moisé calle del carro,1623,,marco,San Marco,POINT (12.33538730348374 45.43364407267899),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
37,,Nale,Catterino,,,s. Maurizio,calle del Dose,2746,,maurizio,San Marco,POINT (12.331162043864907 45.432270427152574),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
38,,Palazzi,"Andrea,",,,s. Luca,riva del carbon,4172,,luca,San Marco,POINT (12.33444406909211 45.436749652086746),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
39,,Papageorgopulo,"Giacomo,",,,s. Luca,calle fuseri,4277,,luca,San Marco,POINT (12.335278969198809 45.43543643141266),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
40,,Pasqualigo,Giacomo,,,s. Marco,ponte barcajuoli,1827,,marco,San Marco,POINT (12.33495547209582 45.43428316969201),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
41,,Perissinotti,Antonio,,,s. Maria dal Giglio,calle della Madonna,3605,,maria del giglio,San Marco,POINT (12.332823505214055 45.43444199540266),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,104
42,,Petris,"Antonio,",,,s. M. del Giglio,calle Minelli,1893,,maria del giglio,San Marco,POINT (12.334145738913332 45.43415279313183),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
43,,Poletti,Giacomo,,,s. M. del Giglio,fond. ostriche ramo Minotto,2339,,maria del giglio,San Marco,POINT (12.333678748402155 45.43227179085892),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
44,,Rensovich,"Nicold,",,,s. M. del Giglio,dietro la chiesa,2546,,maria del giglio,San Marco,POINT (12.33297004848842 45.4331342788817),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
45,,Rinaldi,"Gio.; Battista,",,,s. Maria del Giglio,s. Fantino,3677,,maria del giglio,San Marco,POINT (12.33343353945214 45.43461054371737),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
46,,Rocca,Adriano,,,s. Luca,salizzada Benedetto,3998,,luca,San Marco,POINT (12.332920258691656 45.43518641996434),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
47,,Ruffini,"Giambattista,",,,s. Stefano,s. Angelo campo,3830,,stefano,San Marco,POINT (12.331611206550182 45.43447456876278),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
48,,Sacerdoti,"Cesare,",,,s. M. del Giglio,ramo Callegheri,2589,,maria del giglio,San Marco,POINT (12.3320788191512 45.433217051474315),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
49,,Scotti,"Gio.; Francesco,",,,s. Marco,calle Selvatico,1219,,marco,San Marco,POINT (12.336894003948291 45.4340731385203),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
50,,Somma,Antonio,,,s. Marco,corte della polvere,1139,,marco,San Marco,POINT (12.337153666708119 45.43265334563124),cadaster,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
51,,Tamanini,Gio.; Battista,,,s. Marco ,Frezzeria calle del carro,1641,,marco,San Marco,POINT (12.336168293208209 45.43405369209704),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
52,,Valvasori,"Antonio,",,,s. Marco,corte fiubera,797,,marco,San Marco,POINT (12.338192725596684 45.43534556064376),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
53,,Veniero,"Andrea,",,,s. Angelo,campo,3566,,angelo,San Marco,POINT (12.33215478795912 45.433898524915584),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
54,,Visentini,"Antonio,",,,s. M. del Giglio,corte torretta s. Fantino,1909,,maria del giglio,San Marco,POINT (12.333616585194877 45.43413291889575),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
55,,Zanadio,"Antonio,",,,s. Stefano,Piscina s. Samuele,3432,,stefano,San Marco,POINT (12.330248997603922 45.43420311915578),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
56,,Zennaro,"Angelo,",,,s. Marco,s. Gallo campiello s. Zorzi,1080,,marco,San Marco,POINT (12.336365953409949 45.43494526680561),contemporary,avvocati residenti in venezia,lawyers residing in venice,Professioni liberali - Legge,Liberal professions - Law,105
57,,Adami,"Carlo,",,,s. Marco,calle larga,380,,marco,San Marco,POINT (12.340259391620616 45.435363393744275),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
58,Notajo Camerale,Bisacco,"Giulio,",,,s. Marco,procuratie nuove,70,,marco,San Marco,POINT (12.337525992317087 45.433462488672184),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
59,,Corsale,"Domenico,",,,s. Marco,calle larga,657,,marco,San Marco,POINT (12.339254158728595 45.43520802739681),manuel,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
60,,Dario,"Paolucci; Luigi,",,,s. Marco,campiello dei pignoli,757,,marco,San Marco,POINT (12.337687547002194 45.43588210547393),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
61,,Farina,"Domenico; Luigi,",,,s. Marco,calle valaressa,1318,,marco,San Marco,POINT (12.337069766901255 45.43263370605409),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
62,,Finocchi,"Giovanni,",,,s. Marco,al campanile,32,,marco,San Marco,POINT (12.339094114605947 45.43412599596388),manuel,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
63,,Gaspari,"Daniele,",,,s. Marco,bocca di piazza,1279,,marco,San Marco,POINT (12.336566858631313 45.43371953037768),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
64,,Gualandra,"Carlo,",,,s. Marco,procuratie nuove,55,,marco,San Marco,POINT (12.338389464780832 45.43369965463191),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
65,Notajo Camerale.,Liparacchi,Giovanni,,,s. Marco,a s. Basso,355,,marco,San Marco,POINT (12.339606466971636 45.43505243567121),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
66,Notajo Camer,Molin,"Giovanni,",,,s. Marco,ponte dai dai,167,,marco,San Marco,POINT (12.337955071957195 45.43439089952052),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
67,,Pasini,"Angelo,",,,s. Marco,calle Valaressa,1304,,marco,San Marco,POINT (12.336779555470173 45.43323877466174),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
68,Notajo Camerale,Sayoldelli,Giacomo,,dott.,s. Marco,calle larga,281,,marco,San Marco,POINT (12.339055230535298 45.435009318952424),cadaster,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
69,,Sartorelli,"Carlo,",,,s. Marco,all’ Ascensione,1257,,marco,San Marco,POINT (12.336770192665181 45.43342728203887),contemporary,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
70,,Sperotti,"Luigi,",,,s. Marco,al campanile,33,,marco,San Marco,POINT (12.339044139036174 45.43411471116567),manuel,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
71,,Stefani,"Alessandro,",,,s. Marco,procuratie nuove,23,,marco,San Marco,POINT (12.33904141182356 45.43382561131764),cadaster,notaj residenti in venezia,notaries residing in Venice,Professioni liberali - Legge,Liberal professions - Law,105
72,"Consigliere della Camera di commercio ed Industria;Assessore presso I’ I. R. Tribunale Commerciale Marittimo,",Paulovich,Giovanni.,,,s. Marco,calle di mezzo s. Giuliano,232,,marco,San Marco,POINT (12.338450609639095 45.435577647847644),contemporary,sindacato di borsa in venezia,stock exchange syndicate,Associazioni - sindacati,Associations - unions,138
73,Aggiunti.,Blumenthal," Alessandro,",,,s. Marco,frezzaria,1672,,marco,San Marco,POINT (12.335946836999145 45.434182902586414),contemporary,sindacato di borsa in venezia,stock exchange syndicate,Associazioni - sindacati,Associations - unions,138
74,,Levi,Angelo,,"di A.,",s. M. Formosa,casselleria,5314,,maria formosa,Castello,POINT (12.339815944248247 45.43611979621064),contemporary,sindacato di borsa in venezia,stock exchange syndicate,Associazioni - sindacati,Associations - unions,138
75,,Ivancich,"Giovanni,",,,s. Zaccaria,calle del Rimedio,4421,,zaccaria,Castello,POINT (12.340523087994693 45.435978255276474),contemporary,sindacato di borsa in venezia,stock exchange syndicate,Associazioni - sindacati,Associations - unions,138
76,,Palazzi,"Giacomo,",,,s. M. del Giglio,fondamenta dell’ Ostriche,2338,,maria del giglio,San Marco,POINT (12.333725583781138 45.43227524168331),contemporary,sindacato di borsa in venezia,stock exchange syndicate,Associazioni - sindacati,Associations - unions,138
77,"socio degli Atenei di Venezia e Treviso, e membro di altre Accademie scientifico-letterarie dello Stato ed estere,",Alberti,"Giulio,",,,s. Zaccaria,a s. Provolo,4718,,zaccaria,Castello,POINT (12.342896696416043 45.43543375445489),contemporary,attuaro,,,,138
78,,Greatti,"Angelo,",,,s. Luca,calle Mettivia,4481,,luca,San Marco,POINT (12.335589024856596 45.435709774810995),contemporary,attuaro,,,,138
79,,Bachili,"Giovanni,",,,s. Zaccaria,borgoloco s. Lorenzo,5083,,zaccaria,Castello,POINT (12.34334314954143 45.43708360542072),contemporary,attuaro,,,,138
80,,Cuti,Angelo,,"fu David,",ss. Ermagora e Fortunato,ai due ponti,1415,,ermargora e fortunato,Cannaregio,POINT (12.328671653325653 45.44431112381792),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,138
81,,Donati,Moisé,,fu Salomone.,ss. Apostoli,salizzada del pistor,4549,,apostoli,Cannaregio,POINT (12.336476494305103 45.44075356468034),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,138
82,,Fabris,"Pietro; Maria; Battista,",,,s. Marco,corte dei felzi a s. Moisé,1439,,marco,San Marco,POINT (12.335909361846884 45.43374177481764),cadaster,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,138
83,,Frollo,Giuseppe,,"fu Giuseppe,",s. Eufemia,alla Giudecca fondamenta ‘delle zitelle,50,,eufemia,Dorsoduro,POINT (12.334547633892422 45.429315815520404),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,138
84,,Jona,Daniele; Vita,,,s. Geremia,rio terra s. Leonardo,1333,,geremia,Cannaregio,POINT (12.326481290200869 45.44377956481348),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,138
85,,Kaula,Giacomo; Raffaele,,,s. Marziale,nell’ ex convento dei Servi,2574,con recapito al Caffé Mendel.,marziale,Cannaregio,POINT (12.328340731105026 45.44586565503048),cadaster,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,138
86,,Levi,Girolamo,,"fu Giacomo,",s. Luca,corte dei Risi,4306,,luca,San Marco,POINT (12.334659081962576 45.43473434301528),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,139
87,,Levi,Polacco; Vita,,,s. Marco,corte dei Preti,1001,,marco,San Marco,POINT (12.337210004613075 45.43551772229025),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,139
88,,Longhi,Bartolomeo,,"fu Pietro,",s. Stefano,"calle del Dose as, Maurizio",2727,,stefano,San Marco,POINT (12.330961516878615 45.43165984568302),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,139
89,,Masier,Gaetano,,"di Antonio,",s. M. Gloriosa dei Frari,in campo s.Polo,1997,,maria gloriosa dei frari,San Polo,POINT (12.330423057239775 45.43698548452581),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,139
90,,Orefice,Leone,,fu Israele,s. M. Formosa,calle Tasca,5396,,maria formosa,Castello,POINT (12.339515494194618 45.43661862952606),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,139
91,,Soleil,Giovanni,,"fu Luigi,",s. Zaccaria,borgoloco s. Lorenzo,5101,,zaccaria,Castello,POINT (12.343858187128152 45.437149830859745),contemporary,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,139
92,,Uziel,Giacomo,,"fu Isacco,",s. Zacc.,Riva dei Schiavoni,4205,,zaccaria,Castello,POINT (12.343089158339883 45.437639033820304),cadaster,agenti di cambio,stockbrokers,Professioni liberali - Finanza,Liberal professions - Finance,139
93,,Armani,Agostino,,"fi Antonio,",s. Luca,calle dei fabbri,4716,con cancello sotto le procuratie nuove s. Marco n. 14.,luca,San Marco,POINT (12.335960869598294 45.43594962496209),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
94,,Barozzi,Francesco,,"fu Nicolo,",s. Marco,corte Querini a s. Moisé,1443,,marco,San Marco,POINT (12.335928228392753 45.43245623147602),manuel,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
95,,Bonvicini,Valentino,,"fu Giuseppe,",s. Felice,calle del Verde,4335,,felice,Cannaregio,POINT (12.335976141963869 45.44107041420403),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
96,,Bratti_,Francesco,,"di Bernardo,",s. Zaccaria,al portone,4689,,zaccaria,Castello,POINT (12.342846391954168 45.4341239075269),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
97,,Burri,Leone; Gaetano,,,s. Zaccaria,calle della Madonnetta corte Malipiero,5146,,zaccaria,Castello,POINT (12.342702768058356 45.43748825786696),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
98,,Canciani,Luigi,,"fu Antonio,",s. Marco,corte dei pignoli a s. Giuliano,753,,marco,San Marco,POINT (12.337841365948528 45.43581297132881),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
99,,Cecchetti,Francesco,,"fu Bartolomeo,",s. Canciano,corte Morosini a s.Gio. Grisostomo,5830,,canciano,Cannaregio,POINT (12.33780179735529 45.438674517959804),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
100,,Centenari,"Marianno; Battista,",,fu Gio.,s. M. Formosa,calle della nave as. Lio,5681,,maria formosa,Castello,POINT (12.339170669059754 45.43770100149594),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
101,,Chiggiato,Giovanni,,"fu Giacomo,",s. M. Formosa,ponte dell’ Angelo,5313,con cancello sotto le procurative nuove a s. Marco n. 47.,maria formosa,Castello,POINT (12.339905659643573 45.43604440334657),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
102,,Cucchetti,Giovanni,,"di Giovanni,",s. Cassiano,"circond. s, M. MaterDomini calle Filosi",2149,,cassiano,Santa Croce,POINT (12.329903148552043 45.43919281309675),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
103,,Dalla Venezia,Luigi,,"fu Basilio,",s. Canciano,calle Stella,5452,,canciano,Cannaregio,POINT (12.339517333486883 45.44105398338926),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
104,,Dapsevich,Michele,,"fu Andrea,",s. Francesco della Vigna,salizzada del Morion,2921,,francesco della vigna,Castello,POINT (12.346715947953859 45.43742292935789),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
105,,Dellino,Nicola,,"fu Gaetano,",ss. Ermagora e Fortunato,campiello delTagliapietra,1771,,ermargora e fortunato,Cannaregio,POINT (12.329027732651626 45.443280616597605),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
106,,De Toni,"Andrea; Battista,",,fu Gio.,s. M. Formosa,calle Fontana,5920,,maria formosa,Castello,POINT (12.339116179279237 45.43824307402168),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
107,,Fabris,"Luigi; Battista,",,fu Gio.,s. Marco,frezzaria corte della polvere,1138,,marco,San Marco,POINT (12.336247027993075 45.43435723181986),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
108,,Fannio,Antonio,,"fu Giuseppe,",s. Stefano,calle del Cristo,2790,,stefano,San Marco,POINT (12.331095587815627 45.433241610328686),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
109,,Formenti; Marco,Pietro,,,s. Giacomo dall’ Orio,salizzada dei turchi,1670,,giacomo dall'orio,Santa Croce,POINT (12.327998363266577 45.4411910666326),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,139
110,,Fortunatti,Bonizio,,"fu Ciriaco,",s. M. del Giglio,calle del squero,2166,,maria del giglio,San Marco,POINT (12.335020180964904 45.43243979430997),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
111,,Gandin,Giov.; Antonio,,,s. Silvestro,riva del vin,730,,silvestro,San Polo,POINT (12.335063482926532 45.437823419268156),contemporary,sensali da merci,commodity brokers,Professioni liberali - intermediazione e scambio,Liberal professions - brokerage and exchange,140
